Date,away_team,home_team,away_team_score,home_team_score
20050403,Boston Red Sox,New York Yankees,2,9
20050404,Oakland Athletics,Baltimore Orioles,0,4
20050404,Cleveland Indians,Chicago White Sox,0,1
20050404,Kansas City Royals,Detroit Tigers,2,11
20050404,Minensota Twins,Seattle Mariners,1,5
20050404,Toronto Blue Jays,Tampa Bay Devil Rays,5,2
20050404,Chicago Cubs,Arizona Diamondbacks,16,6
20050404,New York Mets,Cincinnati Reds,6,7
20050404,San Diego Padres,Colorado Rockies,10,12
20050404,Washington Nationals,Philadelpia Phillies,4,8
20050404,Milwaukee Brewers,Pittsburgh Pirates,9,2
20050405,Texas Rangers,Anaheim Angels,2,3
20050405,Boston Red Sox,New York Yankees,3,4
20050405,Minensota Twins,Seattle Mariners,8,4
20050405,Toronto Blue Jays,Tampa Bay Devil Rays,6,3
20050405,Chicago Cubs,Arizona Diamondbacks,4,5
20050405,Atlanta Braves,Florida Marlins,0,9
20050405,St. Louis Cardinals,Houston Colts,7,3
20050405,Los Angeles Dodgers,San  Francisco Giants,2,4
20050406,Texas Rangers,Anaheim Angels,3,2
20050406,Oakland Athletics,Baltimore Orioles,9,0
20050406,Cleveland Indians,Chicago White Sox,3,4
20050406,Kansas City Royals,Detroit Tigers,7,2
20050406,Boston Red Sox,New York Yankees,7,3
20050406,Minensota Twins,Seattle Mariners,4,1
20050406,Toronto Blue Jays,Tampa Bay Devil Rays,5,8
20050406,Chicago Cubs,Arizona Diamondbacks,3,8
20050406,New York Mets,Cincinnati Reds,5,9
20050406,San Diego Padres,Colorado Rockies,14,6
20050406,Atlanta Braves,Florida Marlins,2,1
20050406,St. Louis Cardinals,Houston Colts,1,4
20050406,Washington Nationals,Philadelpia Phillies,7,3
20050406,Milwaukee Brewers,Pittsburgh Pirates,10,2
20050406,Los Angeles Dodgers,San  Francisco Giants,10,4
20050407,Texas Rangers,Anaheim Angels,6,7
20050407,Oakland Athletics,Baltimore Orioles,5,1
20050407,Cleveland Indians,Chicago White Sox,11,5
20050407,Kansas City Royals,Detroit Tigers,3,7
20050407,New York Mets,Cincinnati Reds,1,6
20050407,Atlanta Braves,Florida Marlins,4,2
20050407,Washington Nationals,Philadelpia Phillies,5,4
20050407,Pittsburgh Pirates,San Diego Padres,0,1
20050407,Los Angeles Dodgers,San  Francisco Giants,6,0
20050408,Kansas City Royals,Anaheim Angels,6,2
20050408,Cleveland Indians,Detroit Tigers,4,3
20050408,Chicago White Sox,Minensota Twins,5,1
20050408,Baltimore Orioles,New York Yankees,12,5
20050408,Texas Rangers,Seattle Mariners,6,9
20050408,Oakland Athletics,Tampa Bay Devil Rays,2,3
20050408,Boston Red Sox,Toronto Blue Jays,6,5
20050408,Los Angeles Dodgers,Arizona Diamondbacks,8,7
20050408,New York Mets,Atlanta Braves,1,3
20050408,Milwaukee Brewers,Chicago Cubs,6,3
20050408,Washington Nationals,Florida Marlins,0,9
20050408,Cincinnati Reds,Houston Colts,2,3
20050408,Pittsburgh Pirates,San Diego Padres,3,2
20050408,Colorado Rockies,San  Francisco Giants,8,10
20050408,Philadelpia Phillies,St. Louis Cardinals,5,6
20050409,Kansas City Royals,Anaheim Angels,3,8
20050409,Cleveland Indians,Detroit Tigers,1,11
20050409,Chicago White Sox,Minensota Twins,8,5
20050409,Baltimore Orioles,New York Yankees,5,8
20050409,Texas Rangers,Seattle Mariners,7,6
20050409,Oakland Athletics,Tampa Bay Devil Rays,2,11
20050409,Boston Red Sox,Toronto Blue Jays,5,12
20050409,Los Angeles Dodgers,Arizona Diamondbacks,12,10
20050409,New York Mets,Atlanta Braves,3,6
20050409,Milwaukee Brewers,Chicago Cubs,0,4
20050409,Washington Nationals,Florida Marlins,3,2
20050409,Cincinnati Reds,Houston Colts,3,4
20050409,Pittsburgh Pirates,San Diego Padres,3,11
20050409,Colorado Rockies,San  Francisco Giants,2,4
20050409,Philadelpia Phillies,St. Louis Cardinals,10,4
20050410,Kansas City Royals,Anaheim Angels,8,3
20050410,Cleveland Indians,Detroit Tigers,7,6
20050410,Chicago White Sox,Minensota Twins,2,5
20050410,Baltimore Orioles,New York Yankees,7,2
20050410,Texas Rangers,Seattle Mariners,7,6
20050410,Oakland Athletics,Tampa Bay Devil Rays,6,1
20050410,Boston Red Sox,Toronto Blue Jays,3,4
20050410,Los Angeles Dodgers,Arizona Diamondbacks,4,5
20050410,New York Mets,Atlanta Braves,6,1
20050410,Milwaukee Brewers,Chicago Cubs,5,6
20050410,Washington Nationals,Florida Marlins,0,8
20050410,Cincinnati Reds,Houston Colts,2,5
20050410,Pittsburgh Pirates,San Diego Padres,6,3
20050410,Colorado Rockies,San  Francisco Giants,4,11
20050410,Philadelpia Phillies,St. Louis Cardinals,13,4
20050411,New York Yankees,Boston Red Sox,1,8
20050411,Chicago White Sox,Cleveland Indians,2,1
20050411,Seattle Mariners,Kansas City Royals,8,2
20050411,Toronto Blue Jays,Oakland Athletics,10,3
20050411,Anaheim Angels,Texas Rangers,7,6
20050411,Colorado Rockies,Arizona Diamondbacks,0,2
20050411,Washington Nationals,Atlanta Braves,2,11
20050411,San Diego Padres,Chicago Cubs,1,0
20050411,Philadelpia Phillies,Florida Marlins,4,1
20050411,Pittsburgh Pirates,Milwaukee Brewers,2,6
