start_time,away_team,away_team_score,home_team,home_team_score
1978-10-13 04:00:00+00:00,SAN ANTONIO SPURS,117,DENVER NUGGETS,118
1978-10-13 04:00:00+00:00,NEW JERSEY NETS,107,DETROIT PISTONS,105
1978-10-13 04:00:00+00:00,ATLANTA HAWKS,104,INDIANA PACERS,117
1978-10-13 04:00:00+00:00,HOUSTON ROCKETS,111,NEW YORK KNICKS,107
1978-10-13 04:00:00+00:00,LOS ANGELES LAKERS,102,PHILADELPHIA 76ERS,110
1978-10-13 04:00:00+00:00,SAN DIEGO CLIPPERS,114,PHOENIX SUNS,128
1978-10-13 04:00:00+00:00,CHICAGO BULLS,86,SEATTLE SUPERSONICS,104
1978-10-13 04:00:00+00:00,NEW ORLEANS JAZZ,101,WASHINGTON BULLETS,117
1978-10-13 04:00:00+00:00,CLEVELAND CAVALIERS,115,BOSTON CELTICS,101
1978-10-14 04:00:00+00:00,SAN DIEGO CLIPPERS,89,GOLDEN STATE WARRIORS,117
1978-10-14 04:00:00+00:00,MILWAUKEE BUCKS,111,SAN ANTONIO SPURS,153
1978-10-14 04:00:00+00:00,LOS ANGELES LAKERS,100,NEW JERSEY NETS,102
1978-10-14 04:00:00+00:00,HOUSTON ROCKETS,114,BOSTON CELTICS,108
1978-10-14 04:00:00+00:00,DETROIT PISTONS,114,ATLANTA HAWKS,122
1978-10-15 04:00:00+00:00,MILWAUKEE BUCKS,123,NEW ORLEANS JAZZ,112
1978-10-15 04:00:00+00:00,GOLDEN STATE WARRIORS,110,PHOENIX SUNS,129
1978-10-15 04:00:00+00:00,CHICAGO BULLS,108,PORTLAND TRAIL BLAZERS,97
1978-10-15 04:00:00+00:00,DENVER NUGGETS,98,SAN DIEGO CLIPPERS,94
1978-10-15 04:00:00+00:00,KANSAS CITY KINGS,105,SEATTLE SUPERSONICS,115
1978-10-17 04:00:00+00:00,SAN ANTONIO SPURS,110,PHOENIX SUNS,107
1978-10-17 04:00:00+00:00,NEW JERSEY NETS,109,WASHINGTON BULLETS,113
1978-10-17 04:00:00+00:00,CHICAGO BULLS,94,SAN DIEGO CLIPPERS,99
1978-10-17 04:00:00+00:00,KANSAS CITY KINGS,112,PORTLAND TRAIL BLAZERS,115
1978-10-17 04:00:00+00:00,SEATTLE SUPERSONICS,120,NEW YORK KNICKS,109
1978-10-17 04:00:00+00:00,DETROIT PISTONS,109,NEW ORLEANS JAZZ,114
1978-10-17 04:00:00+00:00,LOS ANGELES LAKERS,111,CLEVELAND CAVALIERS,113
1978-10-18 04:00:00+00:00,BOSTON CELTICS,116,ATLANTA HAWKS,99
1978-10-18 04:00:00+00:00,PORTLAND TRAIL BLAZERS,113,DENVER NUGGETS,125
1978-10-18 04:00:00+00:00,PHOENIX SUNS,122,GOLDEN STATE WARRIORS,112
1978-10-18 04:00:00+00:00,NEW JERSEY NETS,87,HOUSTON ROCKETS,139
1978-10-18 04:00:00+00:00,SEATTLE SUPERSONICS,99,INDIANA PACERS,92
1978-10-18 04:00:00+00:00,WASHINGTON BULLETS,121,PHILADELPHIA 76ERS,111
1978-10-18 04:00:00+00:00,SAN ANTONIO SPURS,127,SAN DIEGO CLIPPERS,125
1978-10-19 04:00:00+00:00,BOSTON CELTICS,115,NEW ORLEANS JAZZ,120
1978-10-19 04:00:00+00:00,HOUSTON ROCKETS,103,KANSAS CITY KINGS,108
1978-10-20 04:00:00+00:00,SAN DIEGO CLIPPERS,110,CHICAGO BULLS,94
1978-10-20 04:00:00+00:00,PHILADELPHIA 76ERS,126,DETROIT PISTONS,117
1978-10-20 04:00:00+00:00,PORTLAND TRAIL BLAZERS,108,GOLDEN STATE WARRIORS,111
1978-10-20 04:00:00+00:00,NEW YORK KNICKS,115,MILWAUKEE BUCKS,105
1978-10-20 04:00:00+00:00,DENVER NUGGETS,126,NEW JERSEY NETS,117
1978-10-20 04:00:00+00:00,SAN ANTONIO SPURS,117,SEATTLE SUPERSONICS,133
1978-10-21 04:00:00+00:00,NEW ORLEANS JAZZ,111,PHILADELPHIA 76ERS,130
1978-10-21 04:00:00+00:00,DETROIT PISTONS,99,WASHINGTON BULLETS,119
1978-10-21 04:00:00+00:00,NEW JERSEY NETS,108,NEW YORK KNICKS,109
1978-10-21 04:00:00+00:00,MILWAUKEE BUCKS,103,KANSAS CITY KINGS,99
1978-10-21 04:00:00+00:00,BOSTON CELTICS,101,HOUSTON ROCKETS,118
1978-10-21 04:00:00+00:00,CHICAGO BULLS,104,CLEVELAND CAVALIERS,113
